,number,species,lon,lat
2391,AMCC266075,Lampropeltis splendida,-106.73636,34.62846
2401,AMCC266079,Lampropeltis splendida,-105.18632,24.482546
2411,AMCC266082,Lampropeltis splendida,-105.651339,31.13548
2421,AMCC266089,Lampropeltis splendida,-108.80838,31.76093
2431,AMCC266090,Lampropeltis splendida,-108.80838,31.76093
2441,AMCC266091,Lampropeltis splendida,-109.71626,32.73693
2451,AMCC266092,Lampropeltis splendida,-109.88992,32.60003
2461,AMCC266093,Lampropeltis splendida,-107.65153,31.82427
2471,AMCC266094,Lampropeltis splendida,-106.9903,32.53405
2481,AMCC266095,Lampropeltis splendida,-106.93865,32.49825
2491,AMCC266096,Lampropeltis splendida,-108.37973,31.77181
2511,AMCC266084,Lampropeltis splendida,-104.6458,30.6125
2521,AMCC266085,Lampropeltis splendida,-105.650526,31.135735
2541,AMCC266179,Lampropeltis triangulum,-74.90567,42.04536
2551,AMCC266183,Lampropeltis triangulum,-74.14478,41.78596
2561,AMCC266199,Lampropeltis triangulum,-75.064651,41.835104
2571,AMCC266212,Lampropeltis triangulum,-74.9139,41.9319
2581,AMCC266193,Lampropeltis triangulum,-74.5423,39.91973
2591,AMCC266182,Lampropeltis triangulum,-79.53219,39.02019
2601,AMCC266181,Lampropeltis triangulum,-78.63061,38.87011
2611,AMCC266185,Lampropeltis triangulum,-74.02813,42.46375
2621,AMCC266186,Lampropeltis triangulum,-76.509261,44.443742
2631,AMCC266187,Lampropeltis triangulum,-90.545748,39.008525
2641,AMCC266188,Lampropeltis triangulum,-90.54589,39.005753
2651,AMCC266189,Lampropeltis triangulum,-92.659595,34.635025
2661,AMCC266190,Lampropeltis triangulum,-104.199784,19.258951
2671,AMCC266191,Lampropeltis triangulum,-84.947993,39.472247
2681,AMCC266194,Lampropeltis triangulum,-106.029545,34.595958
2691,AMCC266196,Lampropeltis triangulum,-103.724753,19.243311
2701,AMCC266197,Lampropeltis triangulum,-98.072951,22.92084
271,AMCC266198,Lampropeltis triangulum,-72.653181,42.192731
272,AMCC266202,Lampropeltis triangulum,-111.096108,35.11851
273,AMCC266203,Lampropeltis triangulum,-75.598858,41.414803
274,AMCC266204,Lampropeltis triangulum,-90.922593,36.733428
275,AMCC266205,Lampropeltis triangulum,-84.338181,9.98545
281,AMCC266207,Lampropeltis triangulum,-82.740465,39.47351
282,AMCC266208,Lampropeltis triangulum,-81.50098,40.53238
283,AMCC266209,Lampropeltis triangulum,-81.429557,39.746838
284,AMCC266213,Lampropeltis triangulum,-74.090624,41.742025
285,AMCC266214,Lampropeltis triangulum,-74.2826,41.2972
286,AMCC266215,Lampropeltis triangulum,-74.179605,40.532278
287,AMCC266216,Lampropeltis triangulum,-85.35524,10.34823
290,AMCC266184,Lampropeltis triangulum,-74.41687,39.88356
291,AMCC266195,Lampropeltis triangulum,-75.50782,40.482363
292,AMCC266210,Lampropeltis triangulum,-88.207885,15.645794
316,AMCC131383,Masticophis flagellum,-109.4981,31.4189
317,AMCC266282,Masticophis flagellum,-82.63621,29.5164
318,AMCC266285,Masticophis flagellum,-81.8743,29.21502
319,AMCC266289,Masticophis flagellum,-81.75647,27.90947
320,AMCC266297,Masticophis flagellum,-84.36819,31.32126
321,AMCC266227,Masticophis flagellum,-81.39377,32.5542
322,AMCC266276,Masticophis flagellum,-81.77882,32.14814
323,AMCC266280,Masticophis flagellum,-84.27669,31.5039
324,AMCC266308,Masticophis flagellum,-83.08018,31.011
325,AMCC266314,Masticophis flagellum,-83.55845,30.01835
326,AMCC266316,Masticophis flagellum,-84.78578,30.38845
327,AMCC266318,Masticophis flagellum,-85.31251,30.31809
328,AMCC266320,Masticophis flagellum,-86.63211,30.7526
329,AMCC266226,Masticophis flagellum,-85.10378,29.63525
330,AMCC266228,Masticophis flagellum,-82.32692,28.65464
331,AMCC266229,Masticophis flagellum,-84.477169,31.221356
332,AMCC266230,Masticophis flagellum,-84.477169,31.221356
333,AMCC266231,Masticophis flagellum,-84.477169,31.221356
334,AMCC266232,Masticophis flagellum,-84.477169,31.221356
335,AMCC266233,Masticophis flagellum,-84.477169,31.221356
336,AMCC266234,Masticophis flagellum,-84.477169,31.221356
337,AMCC266235,Masticophis flagellum,-84.477169,31.221356
338,AMCC266236,Masticophis flagellum,-84.477169,31.221356
339,AMCC266237,Masticophis flagellum,-84.477169,31.221356
340,AMCC266238,Masticophis flagellum,-84.477169,31.221356
341,AMCC266239,Masticophis flagellum,-84.477169,31.221356
342,AMCC266240,Masticophis flagellum,-84.477169,31.221356
343,AMCC266241,Masticophis flagellum,-84.477169,31.221356
344,AMCC266242,Masticophis flagellum,-84.477169,31.221356
345,AMCC266243,Masticophis flagellum,-84.477169,31.221356
346,AMCC266244,Masticophis flagellum,-84.477169,31.221356
347,AMCC266245,Masticophis flagellum,-84.477169,31.221356
348,AMCC266246,Masticophis flagellum,-84.477169,31.221356
349,AMCC266247,Masticophis flagellum,-84.477169,31.221356
350,AMCC266248,Masticophis flagellum,-84.477169,31.221356
351,AMCC266249,Masticophis flagellum,-84.477169,31.221356
352,AMCC266250,Masticophis flagellum,-84.477169,31.221356
353,AMCC266251,Masticophis flagellum,-84.477169,31.221356
354,AMCC266252,Masticophis flagellum,-82.80537,32.26088
355,AMCC266253,Masticophis flagellum,-81.30084,27.23868
356,AMCC266254,Masticophis flagellum,-113.13875,33.2577
357,AMCC266256,Masticophis flagellum,-109.14418,31.96045
358,AMCC266257,Masticophis flagellum,-106.87869,34.33763
359,AMCC266258,Masticophis flagellum,-106.81205,34.65024
360,AMCC266259,Masticophis flagellum,-106.7651,34.41957
361,AMCC266260,Masticophis flagellum,-109.69695,32.64615
362,AMCC266261,Masticophis flagellum,-107.70973,32.04774
363,AMCC266262,Masticophis flagellum,-107.65617,31.82276
364,AMCC266263,Masticophis flagellum,-109.23574,31.59724
365,AMCC266264,Masticophis flagellum,-82.4185,32.6116
366,AMCC266265,Masticophis flagellum,-96.90973,31.30492
367,AMCC266266,Masticophis flagellum,-84.477167,31.221213
368,AMCC266267,Masticophis flagellum,-84.477167,31.221213
369,AMCC266268,Masticophis flagellum,-84.583168,31.01369
370,AMCC266269,Masticophis flagellum,-84.477167,31.221213
371,AMCC266270,Masticophis flagellum,-84.477167,31.221213
372,AMCC266271,Masticophis flagellum,-84.477167,31.221213
373,AMCC266272,Masticophis flagellum,-84.477167,31.221213
374,AMCC266273,Masticophis flagellum,-84.583168,31.01369
375,AMCC266274,Masticophis flagellum,-83.01644,30.04275
376,AMCC266275,Masticophis flagellum,-81.77189,32.14746
377,AMCC266277,Masticophis flagellum,-82.12882,31.92492
378,AMCC266278,Masticophis flagellum,-85.04597,31.62315
379,AMCC266279,Masticophis flagellum,-85.02119,31.67147
380,AMCC266281,Masticophis flagellum,-82.73479,32.16044
381,AMCC266283,Masticophis flagellum,-82.63621,29.099
382,AMCC266284,Masticophis flagellum,-81.88645,29.37228
383,AMCC266286,Masticophis flagellum,-81.45798,29.01107
384,AMCC266287,Masticophis flagellum,-80.90639,27.75796
385,AMCC266288,Masticophis flagellum,-81.44868,27.85655
386,AMCC266290,Masticophis flagellum,-82.52151,28.94228
387,AMCC266291,Masticophis flagellum,-82.62151,28.94228
388,AMCC266292,Masticophis flagellum,-82.62764,28.9543
389,AMCC266293,Masticophis flagellum,-84.29692,30.36828
390,AMCC266294,Masticophis flagellum,-84.7459,29.79741
391,AMCC266295,Masticophis flagellum,-85.91006,30.45492
392,AMCC266296,Masticophis flagellum,-84.37263,31.32259
393,AMCC266298,Masticophis flagellum,-83.76663,31.67541
394,AMCC266299,Masticophis flagellum,-82.14018,31.9446
395,AMCC266300,Masticophis flagellum,-83.51659,32.66002
396,AMCC266301,Masticophis flagellum,-83.16216,30.48964
397,AMCC266302,Masticophis flagellum,-82.50691,32.03915
398,AMCC266303,Masticophis flagellum,-82.49959,32.05505
399,AMCC266304,Masticophis flagellum,-82.5501,31.28765
400,AMCC266305,Masticophis flagellum,-82.47876,30.09919
401,AMCC266306,Masticophis flagellum,-83.664,30.06986
402,AMCC266307,Masticophis flagellum,-83.67918,30.09103
403,AMCC266309,Masticophis flagellum,-81.80122,29.34085
404,AMCC266310,Masticophis flagellum,-81.90895,29.46248
405,AMCC266311,Masticophis flagellum,-81.89511,29.50489
406,AMCC266312,Masticophis flagellum,-82.63957,29.60508
407,AMCC266313,Masticophis flagellum,-83.31627,29.72953
408,AMCC266315,Masticophis flagellum,-84.24898,30.16895
409,AMCC266317,Masticophis flagellum,-85.22103,30.33418
410,AMCC266319,Masticophis flagellum,-86.72334,30.82415
411,AMCC266321,Masticophis flagellum,-86.69709,30.79897
412,AMCC266322,Masticophis flagellum,-86.26267,31.39626
413,AMCC266323,Masticophis flagellum,-85.04282,32.18748
414,AMCC266324,Masticophis flagellum,-85.55931,32.14372
415,AMCC266325,Masticophis flagellum,-82.81251,32.26014
418,AMCC269634,Masticophis flagellum,-99.0825,32.76217
419,AMCC269636,Masticophis flagellum,-102.58082,32.71121
420,AMCC269639,Masticophis flagellum,-104.07269,32.1014
421,AMCC269641,Masticophis flagellum,-103.66731,31.6463
422,AMCC269642,Masticophis flagellum,-103.40491,32.18395
423,AMCC269648,Masticophis flagellum,-104.38033,32.95682
424,AMCC269649,Masticophis flagellum,-104.33687,32.19728
425,AMCC269653,Masticophis flagellum,-105.96581,33.5808
426,AMCC269661,Masticophis flagellum,-107.32455,32.60183
427,AMCC269670,Masticophis flagellum,-108.33517,31.875
428,AMCC269717,Masticophis flagellum,-112.254944,33.059965
429,AMCC269718,Masticophis flagellum,-112.322021,33.043203
430,AMCC269733,Masticophis flagellum,-112.6926,33.93536
431,AMCC269736,Masticophis flagellum,-110.73831,32.93947
432,AMCC269740,Masticophis flagellum,-111.13174,32.74914
433,AMCC269759,Masticophis flagellum,-109.1551,31.65849
434,AMCC269766,Masticophis flagellum,-107.6392,31.82879
435,AMCC269771,Masticophis flagellum,-106.134896,32.797448
436,AMCC269731,Masticophis flagellum,-114.02694,33.91423
437,AMCC265607,Pantherophis guttatus,-82.43384,30.20398
438,AMCC265613,Pantherophis guttatus,-81.55216,28.97478
439,AMCC265615,Pantherophis guttatus,-81.31765,27.80341
440,AMCC263490,Pantherophis guttatus,-79.50158,35.44239
441,AMCC265621,Pantherophis guttatus,-81.83787,32.1473
442,AMCC265629,Pantherophis guttatus,-82.73698,31.8987
443,AMCC265596,Pantherophis guttatus,-81.90632,29.4107
444,AMCC265631,Pantherophis guttatus,-82.47761,30.28285
445,AMCC265638,Pantherophis guttatus,-83.567,29.79099
446,AMCC265641,Pantherophis guttatus,-81.7375,29.43138
447,AMCC265644,Pantherophis guttatus,-83.21849,29.96859
448,AMCC265647,Pantherophis guttatus,-84.83121,29.79946
449,AMCC265651,Pantherophis guttatus,-84.96008,30.71738
450,AMCC265654,Pantherophis guttatus,-86.53876,30.818
451,AMCC265573,Pantherophis guttatus,-85.56281,33.70139
452,AMCC265574,Pantherophis guttatus,-84.32331,35.54444
453,AMCC265575,Pantherophis guttatus,-85.06097,29.71838
454,AMCC265576,Pantherophis guttatus,-85.29464,29.71173
455,AMCC265577,Pantherophis guttatus,-85.11382,29.71845
456,AMCC265578,Pantherophis guttatus,-89.38201,34.76062
457,AMCC265579,Pantherophis guttatus,-89.54936,34.25319
458,AMCC265580,Pantherophis guttatus,-89.73164,33.11944
459,AMCC265581,Pantherophis guttatus,-87.35298,34.31266
460,AMCC265582,Pantherophis guttatus,-81.07462,26.82648
461,AMCC265583,Pantherophis guttatus,-80.97344,27.51205
462,AMCC265584,Pantherophis guttatus,-82.54546,31.39183
463,AMCC265585,Pantherophis guttatus,-89.46592,34.57236
464,AMCC265586,Pantherophis guttatus,-84.67497,35.16511
465,AMCC265587,Pantherophis guttatus,-84.39519,35.49
466,AMCC265588,Pantherophis guttatus,-85.03045,30.97591
467,AMCC265589,Pantherophis guttatus,-84.9773,29.89053
468,AMCC265590,Pantherophis guttatus,-84.72877,29.80848
469,AMCC265591,Pantherophis guttatus,-76.14169,35.45351
470,AMCC265592,Pantherophis guttatus,-85.76008,31.09174
471,AMCC265593,Pantherophis guttatus,-86.99969,30.78185
472,AMCC265594,Pantherophis guttatus,-86.65962,30.72797
473,AMCC265595,Pantherophis guttatus,-85.28129,30.94476
474,AMCC265597,Pantherophis guttatus,-81.61252,30.0251
475,AMCC265598,Pantherophis guttatus,-81.79636,29.82953
476,AMCC265599,Pantherophis guttatus,-82.96858,29.83028
477,AMCC265600,Pantherophis guttatus,-83.3596,29.71754
478,AMCC265601,Pantherophis guttatus,-81.981411,32.042219
479,AMCC265602,Pantherophis guttatus,-81.99515,31.95795
480,AMCC265603,Pantherophis guttatus,-82.51108,32.00366
481,AMCC265604,Pantherophis guttatus,-85.17343,31.27037
482,AMCC265605,Pantherophis guttatus,-81.71797,32.55729
483,AMCC263489,Pantherophis guttatus,-79.52782,35.39473
484,AMCC265606,Pantherophis guttatus,-82.30433,30.23878
485,AMCC265608,Pantherophis guttatus,-82.55466,30.23924
486,AMCC265609,Pantherophis guttatus,-82.42265,29.93148
487,AMCC265610,Pantherophis guttatus,-82.72879,29.26261
488,AMCC265611,Pantherophis guttatus,-82.73393,29.26997
489,AMCC265612,Pantherophis guttatus,-83.31457,29.82717
490,AMCC265614,Pantherophis guttatus,-81.33581,27.78396
491,AMCC265616,Pantherophis guttatus,-82.9849,29.20618
492,AMCC265617,Pantherophis guttatus,-82.99544,29.50509
493,AMCC265618,Pantherophis guttatus,-85.09669,31.61712
494,AMCC265619,Pantherophis guttatus,-84.06229,31.44551
495,AMCC265620,Pantherophis guttatus,-82.45105,31.98386
496,AMCC265622,Pantherophis guttatus,-82.03563,32.01947
497,AMCC265623,Pantherophis guttatus,-82.35113,31.18241
498,AMCC265624,Pantherophis guttatus,-82.37094,31.07225
499,AMCC265625,Pantherophis guttatus,-82.98846,30.39292
500,AMCC265627,Pantherophis guttatus,-83.00766,31.24627
501,AMCC265630,Pantherophis guttatus,-82.33362,30.37732
502,AMCC265632,Pantherophis guttatus,-82.28956,30.29146
503,AMCC265633,Pantherophis guttatus,-82.44297,30.20309
504,AMCC265634,Pantherophis guttatus,-82.33878,30.22645
505,AMCC265635,Pantherophis guttatus,-82.87927,29.95258
506,AMCC265636,Pantherophis guttatus,-83.61362,30.03584
507,AMCC265637,Pantherophis guttatus,-83.62752,29.98825
508,AMCC265639,Pantherophis guttatus,-84.24798,30.17055
509,AMCC265640,Pantherophis guttatus,-83.67045,30.08624
510,AMCC265642,Pantherophis guttatus,-82.88869,29.35302
511,AMCC265643,Pantherophis guttatus,-83.36447,29.68109
512,AMCC265645,Pantherophis guttatus,-84.97699,29.93011
513,AMCC265646,Pantherophis guttatus,-84.82029,30.34708
514,AMCC265648,Pantherophis guttatus,-85.18649,30.45428
515,AMCC265649,Pantherophis guttatus,-85.04689,30.71948
516,AMCC265650,Pantherophis guttatus,-85.0356,30.70856
517,AMCC265652,Pantherophis guttatus,-85.01175,29.71398
518,AMCC265653,Pantherophis guttatus,-85.69635,30.61385
519,AMCC265655,Pantherophis guttatus,-86.90968,30.86469
520,AMCC265656,Pantherophis guttatus,-86.14027,31.81075
523,AMCC267207,Storeria dekayi,-73.989872,40.443119
524,AMCC267212,Storeria dekayi,-84.24695,43.76169
525,AMCC267199,Storeria dekayi,-77.05997,37.06428
526,AMCC267200,Storeria dekayi,-74.1214,40.6253
527,AMCC267201,Storeria dekayi,-81.990095,28.121591
528,AMCC267202,Storeria dekayi,-83.69304,37.83747
529,AMCC267203,Storeria dekayi,-77.73622,36.46378
530,AMCC267205,Storeria dekayi,-83.54543,34.56159
531,AMCC267206,Storeria dekayi,-95.04282,31.07726
532,AMCC267209,Storeria dekayi,-74.2826,41.2972
533,AMCC267210,Storeria dekayi,-79.51356,35.39058
534,AMCC267211,Storeria dekayi,-84.280161,43.590265
535,AMCC267213,Storeria dekayi,-74.153951,40.600977
536,AMCC267214,Storeria dekayi,-81.66223,31.28009
537,AMCC245122,Thamnophis sirtalis,-81.09523,28.69359
538,AMCC244354,Thamnophis sirtalis,-87.59742,33.065
539,AMCC245146,Thamnophis sirtalis,-85.48013,32.06832
540,AMCC244557,Thamnophis sirtalis,-82.63631,30.2947
541,AMCC245126,Thamnophis sirtalis,-84.98815,30.13237
542,AMCC245135,Thamnophis sirtalis,-85.06697,30.16143
543,AMCC245138,Thamnophis sirtalis,-84.98624,30.10538
544,AMCC245142,Thamnophis sirtalis,-84.62057,30.02734
545,AMCC245143,Thamnophis sirtalis,-86.87101,30.85748
546,AMCC245129,Thamnophis sirtalis,-82.34865,31.11669
547,AMCC245147,Thamnophis sirtalis,-82.9582,32.23676
548,AMCC244624,Thamnophis sirtalis,-84.26721,43.83872
549,AMCC244356,Thamnophis sirtalis,-74.5114,41.53597
550,AMCC244363,Thamnophis sirtalis,-74.79214,42.20072
551,AMCC244369,Thamnophis sirtalis,-74.05747,41.96044
552,AMCC244376,Thamnophis sirtalis,-74.1672,44.7356
553,AMCC244377,Thamnophis sirtalis,-74.1714,44.7344
554,AMCC244378,Thamnophis sirtalis,-74.1717,44.7403
555,AMCC244446,Thamnophis sirtalis,-74.991654,42.068824
556,AMCC244447,Thamnophis sirtalis,-74.891317,42.034313
557,AMCC244560,Thamnophis sirtalis,-74.13947,42.51489
558,AMCC244562,Thamnophis sirtalis,-74.22944,42.45617
559,AMCC244420,Thamnophis sirtalis,-81.79249,39.23009
560,AMCC244421,Thamnophis sirtalis,-81.27572,41.50701
561,AMCC244422,Thamnophis sirtalis,-81.27572,41.50701
562,AMCC244423,Thamnophis sirtalis,-81.27572,41.50701
563,AMCC244381,Thamnophis sirtalis,-78.98039,39.04303
564,AMCC244382,Thamnophis sirtalis,-79.00122,39.01869
565,AMCC244387,Thamnophis sirtalis,-79.59075,39.03222
566,AMCC244392,Thamnophis sirtalis,-79.72047,39.04956
567,AMCC244396,Thamnophis sirtalis,-79.50631,38.91286
568,AMCC244395,Thamnophis sirtalis,-79.53178,38.91492
569,AMCC244397,Thamnophis sirtalis,-79.78328,39.03822
570,AMCC244355,Thamnophis sirtalis,-74.2,40.53
571,AMCC244366,Thamnophis sirtalis,-78.01361,39.10736
572,AMCC244367,Thamnophis sirtalis,-81.55811,34.62689
573,AMCC244368,Thamnophis sirtalis,-79.32617,34.45147
574,AMCC244379,Thamnophis sirtalis,-74.1228,44.7239
575,AMCC244383,Thamnophis sirtalis,-79.22356,38.98811
576,AMCC244384,Thamnophis sirtalis,-79.21889,39.11456
577,AMCC244385,Thamnophis sirtalis,-79.21889,39.11456
578,AMCC244386,Thamnophis sirtalis,-79.85761,38.92456
579,AMCC244388,Thamnophis sirtalis,-79.73903,38.91342
580,AMCC244389,Thamnophis sirtalis,-79.74164,38.92511
581,AMCC244390,Thamnophis sirtalis,-79.34281,38.87778
582,AMCC244391,Thamnophis sirtalis,-79.36583,38.86267
583,AMCC244393,Thamnophis sirtalis,-79.73356,39.04369
584,AMCC244394,Thamnophis sirtalis,-79.31003,38.90961
585,AMCC244398,Thamnophis sirtalis,-70.0999,41.2833
586,AMCC244402,Thamnophis sirtalis,-83.46015,34.37418
587,AMCC244405,Thamnophis sirtalis,-87.09151,32.57435
588,AMCC244406,Thamnophis sirtalis,-87.40172,33.807
589,AMCC244407,Thamnophis sirtalis,-74.29115,41.83014
590,AMCC244408,Thamnophis sirtalis,-74.34366,39.88681
591,AMCC244409,Thamnophis sirtalis,-74.49964,39.90501
592,AMCC244410,Thamnophis sirtalis,-74.13879,42.51856
593,AMCC248920,Thamnophis sirtalis,-74.14981,42.52481
594,AMCC248921,Thamnophis sirtalis,-74.14981,42.52481
595,AMCC248922,Thamnophis sirtalis,-74.14981,42.52481
597,AMCC248923,Thamnophis sirtalis,-74.14981,42.52481
598,AMCC248924,Thamnophis sirtalis,-74.14981,42.52481
599,AMCC248925,Thamnophis sirtalis,-74.14981,42.52481
600,AMCC244425,Thamnophis sirtalis,-74.15458,42.52367
601,AMCC244426,Thamnophis sirtalis,-78.9167,39.56849
602,AMCC244427,Thamnophis sirtalis,-74.06542,41.80021
603,AMCC244435,Thamnophis sirtalis,-74.41911,41.92051
604,AMCC244436,Thamnophis sirtalis,-83.28432,33.70337
605,AMCC244437,Thamnophis sirtalis,-81.35508,25.95931
606,AMCC244441,Thamnophis sirtalis,-85.575551,32.395383
607,AMCC244442,Thamnophis sirtalis,-74.961454,41.102602
608,AMCC244443,Thamnophis sirtalis,-89.13238,37.37612
609,AMCC244444,Thamnophis sirtalis,-89.38817,37.68979
610,AMCC244445,Thamnophis sirtalis,-83.79375,37.84153
611,AMCC244448,Thamnophis sirtalis,-82.93564,31.24925
612,AMCC244449,Thamnophis sirtalis,-70.60931,43.22128
613,AMCC244450,Thamnophis sirtalis,-76.774555,40.485846
614,AMCC244553,Thamnophis sirtalis,-75.482253,41.414705
615,AMCC244554,Thamnophis sirtalis,-75.482253,41.414705
616,AMCC244555,Thamnophis sirtalis,-75.482253,41.414705
617,AMCC244556,Thamnophis sirtalis,-75.482253,41.414705
618,AMCC244558,Thamnophis sirtalis,-85.28782,29.69185
619,AMCC244559,Thamnophis sirtalis,-84.82269,30.32219
620,AMCC248930,Thamnophis sirtalis,-74.14981,42.52481
621,AMCC248931,Thamnophis sirtalis,-74.14981,42.52481
622,AMCC248932,Thamnophis sirtalis,-74.14981,42.52481
623,AMCC248933,Thamnophis sirtalis,-74.14981,42.52481
624,AMCC248934,Thamnophis sirtalis,-74.14981,42.52481
625,AMCC244563,Thamnophis sirtalis,-77.17199,34.88105
626,AMCC244564,Thamnophis sirtalis,-95.01162,31.24255
627,AMCC244565,Thamnophis sirtalis,-96.5479,31.77714
628,AMCC244572,Thamnophis sirtalis,-77.38843,42.6255
629,AMCC244573,Thamnophis sirtalis,-74.92,43.37
630,AMCC244574,Thamnophis sirtalis,-74.86052,43.39586
631,AMCC244576,Thamnophis sirtalis,-70.41979,44.71378
632,AMCC244577,Thamnophis sirtalis,-68.30499,45.50123
633,AMCC244579,Thamnophis sirtalis,-68.54187,44.96617
634,AMCC244580,Thamnophis sirtalis,-68.54187,44.96617
635,AMCC244581,Thamnophis sirtalis,-69.05437,44.22928
636,AMCC244583,Thamnophis sirtalis,-73.43575,41.76847
637,AMCC244584,Thamnophis sirtalis,-73.43575,41.75847
638,AMCC244585,Thamnophis sirtalis,-72.38563,41.533
639,AMCC244586,Thamnophis sirtalis,-72.56092,41.4844
640,AMCC244587,Thamnophis sirtalis,-72.16328,41.85658
641,AMCC244588,Thamnophis sirtalis,-72.86338,41.99295
642,AMCC244590,Thamnophis sirtalis,-70.924046,43.132214
643,AMCC244601,Thamnophis sirtalis,-83.718677,35.67011
644,AMCC244602,Thamnophis sirtalis,-83.718677,35.67011
645,AMCC244603,Thamnophis sirtalis,-74.2826,41.2972
646,AMCC244604,Thamnophis sirtalis,-74.05383,41.24489
647,AMCC244605,Thamnophis sirtalis,-74.57692,39.6159
648,AMCC244606,Thamnophis sirtalis,-74.63563,39.62943
649,AMCC244607,Thamnophis sirtalis,-74.96402,41.82481
650,AMCC244608,Thamnophis sirtalis,-74.95647,41.79208
651,AMCC244609,Thamnophis sirtalis,-74.64063,41.2647
652,AMCC244611,Thamnophis sirtalis,-74.100344,41.290167
653,AMCC244612,Thamnophis sirtalis,-74.49472,41.57108
654,AMCC244613,Thamnophis sirtalis,-74.45579,41.61286
655,AMCC244614,Thamnophis sirtalis,-74.42666,41.67475
656,AMCC248948,Thamnophis sirtalis,-84.477167,31.221213
657,AMCC244615,Thamnophis sirtalis,-82.4061,30.32431
658,AMCC244616,Thamnophis sirtalis,-82.56967,42.61376
659,AMCC244617,Thamnophis sirtalis,-84.27578,43.77073
660,AMCC244618,Thamnophis sirtalis,-84.08358,43.66814
661,AMCC248949,Thamnophis sirtalis,-84.477167,31.221213
662,AMCC248950,Thamnophis sirtalis,-84.477167,31.221213
663,AMCC248951,Thamnophis sirtalis,-84.477167,31.221213
664,AMCC244621,Thamnophis sirtalis,-84.477167,31.221213
665,AMCC244623,Thamnophis sirtalis,-84.24696,43.75344
666,AMCC244625,Thamnophis sirtalis,-84.27773,43.87111
667,AMCC244626,Thamnophis sirtalis,-84.22698,43.68388
668,AMCC244627,Thamnophis sirtalis,-84.24769,43.60571
669,AMCC244628,Thamnophis sirtalis,-84.63116,42.69191
670,AMCC244629,Thamnophis sirtalis,-84.28361,43.66946
671,AMCC244631,Thamnophis sirtalis,-84.25472,43.74181
672,AMCC244632,Thamnophis sirtalis,-84.006541,43.392497
673,AMCC244633,Thamnophis sirtalis,-75.00965,40.98673
674,AMCC245115,Thamnophis sirtalis,-74.113009,40.595588
675,AMCC245116,Thamnophis sirtalis,-81.63893,32.07304
676,AMCC245117,Thamnophis sirtalis,-81.5768,31.84076
677,AMCC245118,Thamnophis sirtalis,-83.507472,30.69737
678,AMCC245120,Thamnophis sirtalis,-81.83201,30.7812
679,AMCC245121,Thamnophis sirtalis,-80.93972,28.65241
680,AMCC245123,Thamnophis sirtalis,-80.99611,27.91912
681,AMCC245124,Thamnophis sirtalis,-81.37433,27.76915
682,AMCC245125,Thamnophis sirtalis,-81.59033,27.41292
683,AMCC245127,Thamnophis sirtalis,-81.68634,32.14023
684,AMCC245128,Thamnophis sirtalis,-82.27153,31.06826
685,AMCC245130,Thamnophis sirtalis,-83.57819,29.9637
686,AMCC245131,Thamnophis sirtalis,-83.56422,29.99533
687,AMCC245132,Thamnophis sirtalis,-81.62333,29.87098
688,AMCC245133,Thamnophis sirtalis,-82.90347,29.32261
689,AMCC245134,Thamnophis sirtalis,-83.17761,30.03816
690,AMCC245136,Thamnophis sirtalis,-84.88335,30.41819
691,AMCC245137,Thamnophis sirtalis,-84.97647,29.95024
692,AMCC245139,Thamnophis sirtalis,-84.94494,30.17438
693,AMCC245140,Thamnophis sirtalis,-84.86749,30.24473
694,AMCC245141,Thamnophis sirtalis,-84.83363,30.29441
695,AMCC245144,Thamnophis sirtalis,-86.00253,31.57239
696,AMCC245145,Thamnophis sirtalis,-85.2087,31.96124
697,AMCC244372,Thamnophis sirtalis,-74.1228,44.7239
698,F_erytrogramma_FE_1,Farancia erytrogramma,-81.965313,32.80377
699,F_erytrogramma_FE_2,Farancia erytrogramma,-81.652511,33.09765
700,F_erytrogramma_FE_3,Farancia erytrogramma,-79.782067,34.050528
701,F_erytrogramma_FE_4,Farancia erytrogramma,-81.652511,33.09765
702,F_erytrogramma_FE_7,Farancia erytrogramma,-89.15104,31.05602
703,F_erytrogramma_FTB3015,Farancia erytrogramma,-82.85775,32.48275
704,F_erytrogramma_FTB_3020,Farancia erytrogramma,-89.7294,30.52093
705,F_erytrogramma_FTB_3021,Farancia erytrogramma,-81.43663,31.36673
706,F_erytrogramma_FTB_3023,Farancia erytrogramma,-82.8654,32.4894
707,F_erytrogramma_FTB_3629,Farancia erytrogramma,-84.74849,30.26653
708,F_erytrogramma_H7088,Farancia erytrogramma,-90.109871,30.522774
709,F_erytrogramma_JDW_FE24,Farancia erytrogramma,-81.747825,33.22254
710,F_erytrogramma_NCSM81458,Farancia erytrogramma,-75.8015,36.2751
711,F_erytrogramma_NCSM84830,Farancia erytrogramma,-78.3227,34.7868
712,F_erytrogramma_NCSM90674,Farancia erytrogramma,-75.95832,36.53744
713,F_erytrogramma_NCSM_90708,Farancia erytrogramma,-79.11865,35.17129
714,F_erytrogramma_NCSM_90709,Farancia erytrogramma,-75.96176,36.53833
715,F_abacura_AHT2952,Farancia abacura,-86.53952,31.21348
716,F_abacura_AHT3003,Farancia abacura,-86.33746,32.48268
717,F_abacura_AHT5034,Farancia abacura,-85.98718,30.47388
718,F_abacura_AHT5036,Farancia abacura,-85.91598,30.54687
719,F_abacura_CSA336,Farancia abacura,-95.17,30.398183
