,number,species,lon,lat
142,FLMNH151609,Pantherophis guttatus,-104.399627,33.392876
145,FLMNH169607,Lampropeltis getula,-82.68588,27.71536
146,FLMNH173933,Lampropeltis getula,-84.568674,30.383751
147,FLMNH151612,Lampropeltis splendida,-104.636871,33.424237
148,FLMNH154553,Lampropeltis getula,-83.7977,31.67944
149,FLMNH173210,Lampropeltis getula,-83.374,29.524469
150,FLMNH141134,Lampropeltis elapsoides,-82.4726,27.6013
151,UTEP19903,Agkistrodon contortrix,-93.80243,30.66895
152,UTEP13819,Agkistrodon contortrix,-102.24832,30.059
153,UTEP20932,Agkistrodon contortrix,-91.4828,35.2565
154,UTEP20976,Agkistrodon contortrix,-94.86622,33.33342
155,UTEP18795,Pantherophis guttatus,-91.28795,31.41315
156,UTEP21097,Pantherophis emoryi,-91.96226667,35.71741667
157,UTEP21151,Pantherophis emoryi,-97.43293333,31.87935
158,UTEP21153,Pantherophis emoryi,-98.24601667,26.46783333
159,UTEP1257,Pantherophis emoryi,-91.85748333,35.52518333
160,UTEP20785,Pantherophis emoryi,-103.7737667,30.95133333
161,UTEP21565,Pantherophis emoryi,-100.63402,30.85507
162,UTEP21741,Pantherophis emoryi,-100.15658,29.0176
163,UTEP18776,Pantherophis emoryi,-97.20898333,28.10975
164,UTEP17486,Pantherophis emoryi,-106.1763889,31.45972222
165,UTEP19805,Pantherophis emoryi ?,-96.88388333,30.21901667
166,UTEP20978,Pantherophis emoryi,-91.85748333,35.52518333
168,UTEP19765,Diadophis punctatus,-100.3688833,30.0869
169,UTEP21746,Diadophis punctatus,-100.42365,35.51077
170,UTEP20953,Lampropeltis calligaster,-93.0156,32.19243333
171,UTEP21908,Masticophis flagellum,-100.0674,35.44463333
172,UTEP21672,Storeria dekayi,-99.96245,35.61511667
173,UTEP20919,Lampropeltis getula,-101.1449167,30.99861667
174,UTEP20032,Lampropeltis gentilis,-94.11205,30.22127
177,YPM14083,Lampropeltis calligaster rhombomaculata,-77.8233,38.1154
178,YPM16611,Storeria dekayi wrightorum,-86.870383,33.0373
179,YPM12091,Thamnophis sirtalis,-106.25,36.12
180,UTEP20029,Masticophis flagellum,-100.01215,29.4361
181,UTEP21149,Masticophis flagellum,-100.8507833,30.87653333
182,UTEP21109,Masticophis flagellum,-98.59535,26.27126667
184,UTEP21747,Diadophis punctatus,-105.92,31.988
185,UTEP20685,Diadophis punctatus,-105.01645,30.77751667
187,KU307830,Diadophis punctatus,-94.78461,38.1711
189,KU307813,Diadophis punctatus,-95.148847,38.926654
190,KU290689,Diadophis punctatus,-95.4181,38.9202
191,KU307856,Diadophis punctatus,-95.41677,39.21305
192,KU348887,Diadophis punctatus,-96.6085,39.1015
193,KU337042,Diadophis punctatus,-98.51792,38.91624
194,OMNH6523,Pantherophis emoryi,-95.9053056,34.3298056
195,OMNH6142,Pantherophis emoryi,-94.83189,35.66508
196,KU332320,Thamnophis sirtalis,-94.97,37.94265
197,KU307862,Diadophis punctatus,-95.43111,38.92203
198,KU332044,Diadophis punctatus,-95.3329,37.55458
199,FHSM9104,Agkistrodon contortrix/laticinctus,-95.04337,39.86263
200,FHSM10457,Agkistrodon contortrix/laticinctus,-94.815,37.80868
201,FHSM11866,Agkistrodon contortrix,-78.45667,33.92667
202,FHSM13814,Agkistrodon contortrix/laticinctus,-96.52058,38.25446
203,FHSM15302,Agkistrodon contortrix/laticinctus,-96.806237,39.633254
204,FHSM17550,Agkistrodon laticinctus,-102.320708,31.32457
205,FHSM9938,Pantherophis guttatus,-85.89111,37.27222
206,FHSM10805,Pantherophis emoryi,-95.35951,37.05205
207,FHSM11399,Pantherophis emoryi,-102.01199,37.52364
208,FHSM12883,Pantherophis emoryi,-99.30293,37.61023
209,FHSM15946,Pantherophis emoryi,-95.228333,39.041333
210,FHSM16465,Pantherophis emoryi,-108.2453,38.77317
211,FHSM16936,Pantherophis emoryi,-99.73744,39.61078
212,FHSM9403,Diadophis punctatus,-94.73034,38.42532
213,FHSM9761,Diadophis punctatus,-98.1511,39.0794
214,FHSM9824,Diadophis punctatus,-93.21667,39.76667
215,FHSM9831,Diadophis punctatus,-79.25633333,41.74066833
216,FHSM12593,Diadophis punctatus,-110.8831,31.689
217,FHSM13072,Diadophis punctatus,-88.03273,36.84873
218,FHSM13626,Diadophis punctatus,-100.6224,37.00726
219,FHSM15589,Diadophis punctatus,-96.313511,35.275444
220,FHSM15598,Diadophis punctatus,-98.07371,41.01874
221,FHSM16933,Diadophis punctatus,-99.73744,39.61078
222,FHSM9845,Lampropeltis calligaster,-85.69306,37.14222
223,FHSM9847,Lampropeltis calligaster,-93.21667,39.76667
224,FHSM11675,Lampropeltis calligaster,-76.96913,34.76732
225,FHSM13017,Lampropeltis calligaster,-98.83687,37.01022
226,FHSM13208,Lampropeltis calligaster,-88.48301,36.63722
227,FHSM14387,Lampropeltis calligaster,-96.47646,38.32086
228,FHSM14986,Lampropeltis calligaster,-99.30785,38.40774
229,FHSM16254,Lampropeltis calligaster,-93.015762,35.057605
230,FHSM16385,Lampropeltis calligaster,-95.0447,37.781022
231,FHSM16922,Lampropeltis calligaster,-95.4817,38.8617
232,FHSM9980,Storeria dekayi,-93.21667,39.76667
233,FHSM12731,Storeria dekayi,-99.0936,37.08907
234,FHSM12780,Storeria dekayi,-88.86882,36.72943
235,FHSM16847,Storeria dekayi,-97.894477,38.053252
236,FHSM16947,Storeria dekayi,-98.532167,39.991183
237,FHSM7940,Thamnophis sirtalis,-97.2726,38.93
238,FHSM8335,Thamnophis sirtalis,-95.37112,39.84746
239,FHSM9560,Thamnophis sirtalis,-95.19449,37.17171
240,FHSM9578,Thamnophis sirtalis,-99.17329,37.38347
241,FHSM16525,Thamnophis sirtalis,-103.30855,42.42738
242,FHSM17467,Thamnophis sirtalis,-100.91076,40.17602
243,FHSM7738,Lampropeltis holbrooki,-97.8738,38.7488
244,FHSM8095,Lampropeltis holbrooki,-100.9725,38.8543
245,FHSM9855,Lampropeltis holbrooki,-93.18139,36.29194
246,FHSM9864,Lampropeltis nigra,-85.77472,37.14028
247,FHSM11300,Lampropeltis holbrooki,-99.29013,37.28022
248,FHSM11506,Lampropeltis holbrooki,-93.6931,38.0442
249,FHSM12472,Lampropeltis holbrooki,-95.5707,39.24966
250,FHSM13092,Lampropeltis nigra,-88.02024,36.8489
251,FHSM13623,Lampropeltis getula,-103.2375,30.1648
252,FHSM13916,Lampropeltis californiae,-109.03442,37.32573
253,FHSM13917,Lampropeltis holbrooki,-99.0734,34.24914
254,FHSM15266,Lampropeltis holbrooki,-96.038053,35.334242
255,FHSM15645,Lampropeltis holbrooki,-95.768174,29.793491
256,FHSM15709,Lampropeltis holbrooki,-96.26984,37.08374
257,FHSM8504,Lampropeltis gentilis/triangulum,-101.34228,38.77364
